CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date,date
2488,Nasdaq:AMD,115429080000,2021-01-01
4127,Nasdaq:SWKS,26842200000,2021-01-01
4904,Nasdaq:AEP,39710014350,2021-01-01
6281,Nasdaq:ADI,57451678830,2021-01-01
6951,Nasdaq:AMAT,86522400000,2021-01-01
8670,Nasdaq:ADP,71896330000,2021-01-01
50863,Nasdaq:INTC,211682640000,2021-01-01
72903,Nasdaq:XEL,35056080000,2021-01-01
75362,Nasdaq:PCAR,30727822620,2021-01-01
77476,Nasdaq:PEP,196608600000,2021-01-01
97476,Nasdaq:TXN,154840680000,2021-01-01
277948,Nasdaq:CSX,71525410600,2021-01-01
318154,Nasdaq:AMGN,135029540000,2021-01-01
319201,Nasdaq:KLAC,42785900190,2021-01-01
320193,Nasdaq:AAPL,2193365077919,2021-01-01
707549,Nasdaq:LRCX,73401094960,2021-01-01
712515,Nasdaq:EA,40673860000,2021-01-01
718877,Nasdaq:ATVI,69494250000,2021-01-01
723125,Nasdaq:MU,88603200000,2021-01-01
723254,Nasdaq:CTAS,37375035840,2021-01-01
723531,Nasdaq:PAYX,33005718000,2021-01-01
743316,NASDAQ:MXIM,25314163680,2021-01-01
743988,NASDAQ:XLNX,36805754370,2021-01-01
745732,Nasdaq:ROST,42998871840,2021-01-01
769397,Nasdaq:ADSK,69028800000,2021-01-01
789019,Nasdaq:MSFT,1645688310000,2021-01-01
796343,Nasdaq:ADBE,228837460000,2021-01-01
798354,NYSE:FI,76507898000,2021-01-01
804328,Nasdaq:QCOM,176408100000,2021-01-01
804753,NASDAQ:CERN,24555184580,2021-01-01
813672,Nasdaq:CDNS,37554578050,2021-01-01
815556,Nasdaq:FAST,28548453000,2021-01-01
827054,Nasdaq:MCHP,40327440000,2021-01-01
829224,Nasdaq:SBUX,121694625000,2021-01-01
858877,Nasdaq:CSCO,189866080000,2021-01-01
865752,Nasdaq:MNST,49386232500,2021-01-01
872589,Nasdaq:REGN,50718480962,2021-01-01
874716,Nasdaq:IDXX,42353600700,2021-01-01
875045,Nasdaq:BIIB,38041836000,2021-01-01
875320,Nasdaq:VRTX,60407040100,2021-01-01
879169,Nasdaq:INCY,19793080050,2021-01-01
882095,Nasdaq:GILD,78525120000,2021-01-01
883241,Nasdaq:SNPS,39434015160,2021-01-01
891103,NASDAQ:MTCH,41065686140,2021-01-01
896878,Nasdaq:INTU,99530100000,2021-01-01
898173,Nasdaq:ORLY,33072971700,2021-01-01
899866,NASDAQ:ALXN,34358450000,2021-01-01
900075,Nasdaq:CPRT,28543692240,2021-01-01
908937,Nasdaq:SIRI,26559540000,2021-01-01
909832,Nasdaq:COST,163037861280,2021-01-01
935703,Nasdaq:DLTR,27126900000,2021-01-01
937966,Nasdaq:ASML,208243879000,2021-01-01
1013462,Nasdaq:ANSS,31686656160,2021-01-01
1014473,Nasdaq:VRSN,22626200000,2021-01-01
1015922,Nasdaq:CHKP,17280160000,2021-01-01
1018724,Nasdaq:AMZN,1593748800000,2021-01-01
1035267,Nasdaq:ISRG,95449589190,2021-01-01
1045810,Nasdaq:NVDA,329329920000,2021-01-01
1048286,Nasdaq:MAR,42585345000,2021-01-01
1058290,Nasdaq:CTSH,42903500000,2021-01-01
1060736,Nasdaq:SGEN,31947614000,2021-01-01
1065088,Nasdaq:EBAY,27711198397,2021-01-01
1065280,Nasdaq:NFLX,225552261360,2021-01-01
1075531,Nasdaq:BKNG,91773374050,2021-01-01
1091667,Nasdaq:CHTR,120540832796,2021-01-01
1093557,Nasdaq:DXCM,37283508000,2021-01-01
1097149,Nasdaq:ALGN,44110440000,2021-01-01
1099590,Nasdaq:MELI,79686968721,2021-01-01
1103982,Nasdaq:MDLZ,81557120000,2021-01-01
1109357,Nasdaq:EXC,41063310000,2021-01-01
1110646,Nasdaq:NTES,74958199164,2021-01-01
1110803,Nasdaq:ILMN,55831860000,2021-01-01
1166691,Nasdaq:CMCSA,232580059999,2021-01-01
1261333,Nasdaq:DOCU,44402212800,2021-01-01
1269238,Nasdaq:TCOM,20072613494,2021-01-01
1283699,Nasdaq:TMUS,165624432262,2021-01-01
1318605,Nasdaq:TSLA,784204830000,2021-01-01
1326801,Nasdaq:META,773401145218,2021-01-01
1327811,Nasdaq:WDAY,53616067990,2021-01-01
1329099,Nasdaq:BIDU,69954985000,2021-01-01
1353283,Nasdaq:SPLK,26413947360,2021-01-01
1397187,Nasdaq:LULU,47853846810,2021-01-01
1402057,Nasdaq:CDW,18620967000,2021-01-01
1413447,Nasdaq:NXPI,48564274740,2021-01-01
1418135,Nasdaq:KDP,44812560000,2021-01-01
1442145,Nasdaq:VRSK,32686126967,2021-01-01
1549802,Nasdaq:JD,273197860320,2021-01-01
1585521,Nasdaq:ZM,98502417407,2021-01-01
1618921,Nasdaq:WBA,39113692000,2021-01-01
1633917,Nasdaq:PYPL,275701920000,2021-01-01
1637459,Nasdaq:KHC,41208985000,2021-01-01
1639825,Nasdaq:PTON,45529610896,2021-01-01
1650372,Nasdaq:TEAM,58410113020,2021-01-01
1652044,Nasdaq:GOOG,1203178242567,2021-01-01
1660134,Nasdaq:OKTA,32642514540,2021-01-01
1682852,Nasdaq:MRNA,46036000000,2021-01-01
1730168,Nasdaq:AVGO,180912005978,2021-01-01
1737806,Nasdaq:PDD,224408355900,2021-01-01
1754301,Nasdaq:FOX,17926390000,2021-01-01
1835632,Nasdaq:MRVL,33016391580,2021-01-01
