CIK,"('exchange_and_symbol', 'variation_0')",market_cap_at_prediction_date
2488,Nasdaq:AMD,130217360000
4127,Nasdaq:SWKS,15481798000
4904,Nasdaq:AEP,48835315819
6281,Nasdaq:ADI,77185992900
6951,Nasdaq:AMAT,82662392400
8670,Nasdaq:ADP,89027554000
50863,Nasdaq:INTC,154482420000
72903,Nasdaq:XEL,38214540000
75362,Nasdaq:PCAR,28990346580
77476,Nasdaq:PEP,226333800000
97476,Nasdaq:TXN,142156146600
277948,Nasdaq:CSX,62884120000
318154,Nasdaq:AMGN,130277850000
319201,Nasdaq:KLAC,48925609710
320193,Nasdaq:AAPL,2212148752300
707549,Nasdaq:LRCX,60030663500
712515,Nasdaq:EA,34283520000
718877,Nasdaq:ATVI,60339120000
723125,Nasdaq:MU,63472420000
723254,Nasdaq:CTAS,37679487720
723531,Nasdaq:PAYX,43168788000
745732,Nasdaq:ROST,25467643400
769397,Nasdaq:ADSK,38367770000
773840,Nasdaq:HON,119470049999
789019,Nasdaq:MSFT,1918222409500
796343,Nasdaq:ADBE,171114840000
798354,NYSE:FI,58576233300
804328,Nasdaq:QCOM,147786800000
813672,Nasdaq:CDNS,40760582400
815556,Nasdaq:FAST,28302547000
827054,Nasdaq:MCHP,32845185700
829224,Nasdaq:SBUX,87561980000
858877,Nasdaq:CSCO,177751680000
865752,Nasdaq:MNST,48099459800
872589,Nasdaq:REGN,65294778200
874716,Nasdaq:IDXX,29306401620
875045,Nasdaq:BIIB,29657994500
875320,Nasdaq:VRTX,70632134500
878927,Nasdaq:ODFL,28351166880
882095,Nasdaq:GILD,78135760000
883241,Nasdaq:SNPS,46452460600
891103,NASDAQ:MTCH,20474898060
896878,Nasdaq:INTU,108963524300
898173,Nasdaq:ORLY,41056940320
900075,Nasdaq:CPRT,25870659800
901832,Nasdaq:AZN,204251140000
908937,Nasdaq:SIRI,24039360000
909832,Nasdaq:COST,208017384830
935703,Nasdaq:DLTR,34430394000
937966,Nasdaq:ASML,195877306300
1013462,Nasdaq:ANSS,20889802600
1014473,Nasdaq:VRSN,17871488000
1018724,Nasdaq:AMZN,1092731591000
1035267,Nasdaq:ISRG,72332619000
1045810,Nasdaq:NVDA,399550000000
1048286,Nasdaq:MAR,45518058000
1058290,Nasdaq:CTSH,35497147500
1060736,Nasdaq:SGEN,32864358150
1065088,Nasdaq:EBAY,23877265600
1065280,Nasdaq:NFLX,79842437200
1075531,Nasdaq:BKNG,74478071040
1091667,Nasdaq:CHTR,74975597207
1093557,Nasdaq:DXCM,29319750000
1097149,Nasdaq:ALGN,23831909640
1099590,Nasdaq:MELI,33492411785
1103982,Nasdaq:MDLZ,85297040000
1109357,Nasdaq:EXC,43046280000
1110646,Nasdaq:NTES,61555127300
1110803,Nasdaq:ILMN,29426510000
1166691,Nasdaq:CMCSA,174402410000
1261333,Nasdaq:DOCU,12330546500
1262039,Nasdaq:FTNT,45982993500
1283699,Nasdaq:TMUS,166764385900
1318605,Nasdaq:TSLA,723390250600
1326801,Nasdaq:META,434852043900
1327567,Nasdaq:PANW,48453135000
1327811,Nasdaq:WDAY,36690708750
1329099,Nasdaq:BIDU,53142211400
1353283,Nasdaq:SPLK,14952437000
1397187,Nasdaq:LULU,35556178400
1413447,Nasdaq:NXPI,40494933380
1418135,Nasdaq:KDP,50335425000
1442145,Nasdaq:VRSK,26675963900
1535527,Nasdaq:CRWD,40508581260
1549802,Nasdaq:JD,100763955200
1559720,Nasdaq:ABNB,62263834710
1561550,Nasdaq:DDOG,30635849399
1585521,Nasdaq:ZM,33755491800
1618921,Nasdaq:WBA,35399954400
1633917,Nasdaq:PYPL,83170425600
1637459,Nasdaq:KHC,46294709999
1650372,Nasdaq:TEAM,49013233200
1652044,Nasdaq:GOOG,1478381144711
1660134,Nasdaq:OKTA,14575240000
1682852,Nasdaq:MRNA,56307240000
1713683,Nasdaq:ZS,21977369500
1730168,Nasdaq:AVGO,202378191205
1737806,Nasdaq:PDD,79367643580
1811210,Nasdaq:LCID,29921060400
1835632,Nasdaq:MRVL,38517468000
1868275,Nasdaq:CEG,18974672100
