CIK,risk_score,date
20,0.37,2021-01-01
1750,2.38,2021-01-01
1800,2.38,2021-01-01
2034,0,2021-01-01
2098,0.73,2021-01-01
2135,0.37,2021-01-01
2178,0.73,2021-01-01
2186,2.38,2021-01-01
2230,0,2021-01-01
2488,2.38,2021-01-01
2491,0.37,2021-01-01
2646,1.1,2021-01-01
2809,1.1,2021-01-01
2969,2.38,2021-01-01
3116,2.38,2021-01-01
3153,1.8,2021-01-01
3197,2.38,2021-01-01
3370,0.37,2021-01-01
3453,2.38,2021-01-01
3499,0.06,2021-01-01
3545,0.73,2021-01-01
3570,2.38,2021-01-01
3673,0.95,2021-01-01
3845,0.95,2021-01-01
3982,0.37,2021-01-01
4127,2.38,2021-01-01
4187,0,2021-01-01
4281,2.38,2021-01-01
4317,0,2021-01-01
4447,2.38,2021-01-01
4457,0.84,2021-01-01
4904,2.38,2021-01-01
4962,2.38,2021-01-01
4977,0.84,2021-01-01
5094,0.06,2021-01-01
5272,2.38,2021-01-01
5513,2.38,2021-01-01
5768,0.37,2021-01-01
5981,1.8,2021-01-01
6176,0.73,2021-01-01
6201,2.38,2021-01-01
6207,0.73,2021-01-01
6281,2.38,2021-01-01
6284,0.95,2021-01-01
6845,2.38,2021-01-01
6885,2.38,2021-01-01
6951,2.38,2021-01-01
6955,2.38,2021-01-01
7032,0.37,2021-01-01
7039,0.73,2021-01-01
7084,2.38,2021-01-01
7323,2.38,2021-01-01
7332,2.38,2021-01-01
7431,2.38,2021-01-01
7536,2.38,2021-01-01
7623,0.73,2021-01-01
7789,0,2021-01-01
8063,0.84,2021-01-01
8146,0.73,2021-01-01
8177,0.06,2021-01-01
8302,0,2021-01-01
8411,0.95,2021-01-01
8504,2.38,2021-01-01
8670,2.38,2021-01-01
8818,2.38,2021-01-01
8858,2.38,2021-01-01
8868,0.73,2021-01-01
8947,2.38,2021-01-01
9092,2.38,2021-01-01
9326,2.38,2021-01-01
9346,0.73,2021-01-01
9389,2.38,2021-01-01
9521,0.06,2021-01-01
9622,0.06,2021-01-01
9631,1.1,2021-01-01
9984,2.38,2021-01-01
10048,0.73,2021-01-01
10081,0.37,2021-01-01
10254,0.73,2021-01-01
10329,2.38,2021-01-01
10456,2.38,2021-01-01
10795,2.38,2021-01-01
11544,2.38,2021-01-01
12040,0,2021-01-01
12208,2.38,2021-01-01
12239,0.73,2021-01-01
12400,1.1,2021-01-01
12603,0.06,2021-01-01
12659,2.38,2021-01-01
12927,2.38,2021-01-01
12978,0.95,2021-01-01
13573,0.06,2021-01-01
14177,0.06,2021-01-01
14195,2.38,2021-01-01
14272,3.69,2021-01-01
14280,0,2021-01-01
14693,2.38,2021-01-01
14707,2.38,2021-01-01
14846,0.84,2021-01-01
15615,2.38,2021-01-01
16040,2.38,2021-01-01
16058,2.38,2021-01-01
16099,0.73,2021-01-01
16160,1.8,2021-01-01
16732,2.38,2021-01-01
16859,1.36,2021-01-01
16868,1.1,2021-01-01
16875,2.38,2021-01-01
16918,2.38,2021-01-01
17313,2.38,2021-01-01
17485,0.37,2021-01-01
17843,2.38,2021-01-01
18061,0.37,2021-01-01
18169,0.37,2021-01-01
18172,2.38,2021-01-01
18230,2.38,2021-01-01
18255,1.8,2021-01-01
18349,0,2021-01-01
18396,0.95,2021-01-01
18498,2.38,2021-01-01
18748,0.06,2021-01-01
18926,2.38,2021-01-01
19399,0.37,2021-01-01
19411,2.38,2021-01-01
19446,2.38,2021-01-01
19520,0.37,2021-01-01
19584,0.84,2021-01-01
19612,2.38,2021-01-01
19617,0.84,2021-01-01
19745,0.84,2021-01-01
19871,0,2021-01-01
20212,2.38,2021-01-01
20232,0.37,2021-01-01
20286,0.84,2021-01-01
20388,0.37,2021-01-01
20430,0.06,2021-01-01
20520,3.05,2021-01-01
20629,0.37,2021-01-01
20740,0.37,2021-01-01
21076,2.38,2021-01-01
21175,2.38,2021-01-01
21344,2.38,2021-01-01
21510,2.38,2021-01-01
21535,2.38,2021-01-01
21665,2.38,2021-01-01
22105,0.06,2021-01-01
22252,0,2021-01-01
22301,0,2021-01-01
22356,2.38,2021-01-01
22444,2.38,2021-01-01
22551,0,2021-01-01
22701,0.73,2021-01-01
22912,0.37,2021-01-01
23082,0.95,2021-01-01
23111,0.73,2021-01-01
23194,2.38,2021-01-01
23197,2.38,2021-01-01
23217,2.38,2021-01-01
23666,0.95,2021-01-01
23675,0.95,2021-01-01
23795,0.73,2021-01-01
24090,0.73,2021-01-01
24104,0.73,2021-01-01
24545,2.38,2021-01-01
24741,2.38,2021-01-01
25212,0.37,2021-01-01
25232,2.38,2021-01-01
25445,2.38,2021-01-01
25475,2.38,2021-01-01
25743,2.38,2021-01-01
25793,0.37,2021-01-01
25895,0.73,2021-01-01
26058,2.38,2021-01-01
26076,2.38,2021-01-01
26172,2.38,2021-01-01
26324,0.84,2021-01-01
26537,0.37,2021-01-01
26780,2.38,2021-01-01
27048,0.37,2021-01-01
27093,0.73,2021-01-01
27367,0.73,2021-01-01
27419,2.38,2021-01-01
27904,2.38,2021-01-01
27960,0,2021-01-01
27996,2.38,2021-01-01
28412,2.38,2021-01-01
28630,0.37,2021-01-01
28917,2.38,2021-01-01
29002,0.84,2021-01-01
29332,0.73,2021-01-01
29534,2.38,2021-01-01
29644,2.38,2021-01-01
29669,2.38,2021-01-01
29806,0,2021-01-01
29834,0,2021-01-01
29905,2.38,2021-01-01
29989,2.38,2021-01-01
30125,0,2021-01-01
30305,2.38,2021-01-01
30371,0.84,2021-01-01
30554,0.95,2021-01-01
30625,2.38,2021-01-01
30697,2.38,2021-01-01
30828,0.37,2021-01-01
30831,0,2021-01-01
31107,0.73,2021-01-01
31235,2.38,2021-01-01
31347,0.95,2021-01-01
31462,2.38,2021-01-01
31667,0.73,2021-01-01
31791,2.38,2021-01-01
31978,0.95,2021-01-01
32020,0.37,2021-01-01
32166,0.37,2021-01-01
32604,2.38,2021-01-01
32621,0,2021-01-01
32689,0.37,2021-01-01
32878,0,2021-01-01
33002,1.8,2021-01-01
33185,2.38,2021-01-01
33213,2.38,2021-01-01
33488,1.8,2021-01-01
33523,0.37,2021-01-01
33533,0.06,2021-01-01
33619,0.95,2021-01-01
33769,0.95,2021-01-01
33934,0.06,2021-01-01
33992,0.73,2021-01-01
34067,1.8,2021-01-01
34088,2.38,2021-01-01
34151,0.95,2021-01-01
34349,0.37,2021-01-01
34408,0.95,2021-01-01
34489,0.37,2021-01-01
34563,2.38,2021-01-01
34782,1.8,2021-01-01
34903,0.84,2021-01-01
34956,2.38,2021-01-01
35214,2.38,2021-01-01
35527,2.38,2021-01-01
36029,0.84,2021-01-01
36032,1.1,2021-01-01
36047,2.38,2021-01-01
36104,2.38,2021-01-01
36146,0.84,2021-01-01
36270,0.84,2021-01-01
36377,1.8,2021-01-01
36966,3.69,2021-01-01
37008,0,2021-01-01
37039,0.37,2021-01-01
37049,0,2021-01-01
37472,2.38,2021-01-01
37643,0.37,2021-01-01
37748,0.95,2021-01-01
37785,2.38,2021-01-01
37808,2.38,2021-01-01
37996,3.69,2021-01-01
38067,0,2021-01-01
38074,0.95,2021-01-01
38079,1.1,2021-01-01
38188,0.06,2021-01-01
38264,0.73,2021-01-01
38725,2.38,2021-01-01
38777,2.38,2021-01-01
38984,0,2021-01-01
39020,0.73,2021-01-01
39092,0.06,2021-01-01
39263,0.84,2021-01-01
39273,0.37,2021-01-01
39311,1.8,2021-01-01
39368,2.38,2021-01-01
39648,0.37,2021-01-01
39677,0.37,2021-01-01
39899,2.38,2021-01-01
39911,2.38,2021-01-01
40211,2.38,2021-01-01
40417,0.06,2021-01-01
40533,2.38,2021-01-01
40545,2.38,2021-01-01
40554,0,2021-01-01
40570,0.73,2021-01-01
40704,2.38,2021-01-01
40729,2.38,2021-01-01
40888,2.38,2021-01-01
40987,0.84,2021-01-01
41091,0.84,2021-01-01
41133,0.37,2021-01-01
41719,2.38,2021-01-01
42582,2.38,2021-01-01
42682,1.8,2021-01-01
42872,0.06,2021-01-01
42888,2.38,2021-01-01
43196,0.84,2021-01-01
43350,0.37,2021-01-01
43410,0,2021-01-01
43920,2.38,2021-01-01
44545,0,2021-01-01
45012,2.38,2021-01-01
45876,2.38,2021-01-01
45919,0.73,2021-01-01
46012,0.06,2021-01-01
46043,0,2021-01-01
46080,2.38,2021-01-01
46129,1.36,2021-01-01
46195,2.38,2021-01-01
46250,1.8,2021-01-01
46619,2.38,2021-01-01
46738,0.37,2021-01-01
46765,2.38,2021-01-01
46989,0.37,2021-01-01
47111,2.38,2021-01-01
47217,2.38,2021-01-01
47518,2.38,2021-01-01
48287,2.38,2021-01-01
48465,2.38,2021-01-01
48898,2.38,2021-01-01
49071,2.38,2021-01-01
49196,2.38,2021-01-01
49534,0,2021-01-01
49600,0.84,2021-01-01
49728,0.73,2021-01-01
49754,2.38,2021-01-01
49826,2.38,2021-01-01
49930,0,2021-01-01
49938,0.84,2021-01-01
50104,0.95,2021-01-01
50493,0.84,2021-01-01
50710,0.37,2021-01-01
50725,2.38,2021-01-01
50863,2.38,2021-01-01
50934,0.37,2021-01-01
50957,0,2021-01-01
51143,2.38,2021-01-01
51253,2.38,2021-01-01
51434,2.38,2021-01-01
51548,0.95,2021-01-01
51644,2.38,2021-01-01
51939,0,2021-01-01
52485,0.84,2021-01-01
52708,0.06,2021-01-01
52795,2.38,2021-01-01
52827,2.38,2021-01-01
52969,0.37,2021-01-01
52988,2.38,2021-01-01
54003,0.37,2021-01-01
54056,0.37,2021-01-01
54187,0.73,2021-01-01
54381,2.38,2021-01-01
54441,0.37,2021-01-01
54480,2.38,2021-01-01
54502,0,2021-01-01
54507,2.38,2021-01-01
54991,0.37,2021-01-01
55067,2.38,2021-01-01
55135,2.38,2021-01-01
55195,0.06,2021-01-01
55242,2.38,2021-01-01
55362,0.37,2021-01-01
55529,0.73,2021-01-01
55772,1.8,2021-01-01
55785,2.38,2021-01-01
56047,0.84,2021-01-01
56679,2.38,2021-01-01
56701,0.73,2021-01-01
56806,0.37,2021-01-01
56868,1.8,2021-01-01
56873,2.38,2021-01-01
56978,2.38,2021-01-01
57083,1.1,2021-01-01
57131,2.38,2021-01-01
57201,0.06,2021-01-01
57515,1.8,2021-01-01
57528,0.37,2021-01-01
57725,2.38,2021-01-01
58361,0.73,2021-01-01
58492,2.38,2021-01-01
59255,2.38,2021-01-01
59440,2.38,2021-01-01
59478,2.38,2021-01-01
59527,2.38,2021-01-01
59558,2.38,2021-01-01
60086,2.38,2021-01-01
60519,2.38,2021-01-01
60527,0,2021-01-01
60667,2.38,2021-01-01
60714,0.73,2021-01-01
60751,0.95,2021-01-01
60977,2.38,2021-01-01
61004,0.73,2021-01-01
61398,2.38,2021-01-01
61442,0.37,2021-01-01
61478,0.95,2021-01-01
61986,2.38,2021-01-01
62234,0.84,2021-01-01
62362,0.06,2021-01-01
62709,2.38,2021-01-01
62996,2.38,2021-01-01
63276,2.38,2021-01-01
63296,2.38,2021-01-01
63330,0.73,2021-01-01
63754,2.38,2021-01-01
63908,2.38,2021-01-01
64040,2.38,2021-01-01
64463,1.36,2021-01-01
64472,0.73,2021-01-01
64803,2.38,2021-01-01
64996,2.38,2021-01-01
65100,0.37,2021-01-01
65172,1.8,2021-01-01
65201,0.37,2021-01-01
65270,2.38,2021-01-01
65312,1.8,2021-01-01
65358,0.37,2021-01-01
65433,0.73,2021-01-01
65596,1.8,2021-01-01
65770,2.38,2021-01-01
65984,2.38,2021-01-01
66004,2.38,2021-01-01
66032,0.06,2021-01-01
66382,2.38,2021-01-01
66418,0.06,2021-01-01
66570,2.38,2021-01-01
66649,0.37,2021-01-01
66740,2.38,2021-01-01
66756,0.84,2021-01-01
66901,2.38,2021-01-01
66904,1.8,2021-01-01
67088,1.1,2021-01-01
67215,2.38,2021-01-01
67279,0.37,2021-01-01
67347,2.38,2021-01-01
67625,0.84,2021-01-01
67686,0.37,2021-01-01
67716,2.38,2021-01-01
67813,0.06,2021-01-01
67887,0.84,2021-01-01
68270,0.95,2021-01-01
68505,2.38,2021-01-01
68622,0.84,2021-01-01
68709,2.38,2021-01-01
69422,0,2021-01-01
69488,2.38,2021-01-01
69633,1.8,2021-01-01
69733,0.06,2021-01-01
69891,1.8,2021-01-01
70145,2.38,2021-01-01
70318,2.38,2021-01-01
