CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
20,NASDAQ:KTII,0,2021-01-01
1750,NYSE:AIR,38.62,2021-01-01
1800,NYSE:ABT,111.3,2021-01-01
2034,NASDAQ:ACETQ,0,2021-01-01
2098,AMEX:ACU,0,2021-01-01
2135,NYSE:ACS,0,2021-01-01
2178,AMEX:AE,0,2021-01-01
2186,AMEX:BKTI,0,2021-01-01
2230,NYSE:ADX,17.37,2021-01-01
2488,Nasdaq:AMD,95.16,2021-01-01
2491,NYSE:BYI,0,2021-01-01
2646,,0,2021-01-01
2809,NYSE:AEM,76.39,2021-01-01
2969,NYSE:APD,285.29,2021-01-01
3116,,0,2021-01-01
3153,,0,2021-01-01
3197,Nasdaq:CECO,7.34,2021-01-01
3370,NYSE:IKN,0,2021-01-01
3453,NYSE:ALEX,62.92,2021-01-01
3499,NYSE:ALX,266.74,2021-01-01
3545,Nasdaq:ALCO,31.19,2021-01-01
3570,NYSE:LNG,64.78,2021-01-01
3673,NYSE:AYE,0,2021-01-01
3845,NYSE:AFC,0,2021-01-01
3982,NYSE:ALY,0,2021-01-01
4127,Nasdaq:SWKS,162.68,2021-01-01
4187,NASDAQ:IDSA,0,2021-01-01
4281,NYSE:HWM,27.74,2021-01-01
4317,,0,2021-01-01
4447,NYSE:HES,61.16,2021-01-01
4457,NYSE:UHAL,46.82,2021-01-01
4904,Nasdaq:AEP,79.89,2021-01-01
4962,NYSE:AXP,121.66,2021-01-01
4977,NYSE:AFL,44.68,2021-01-01
5094,NYSE:VBF,20.56,2021-01-01
5272,NYSE:AIG,40.89,2021-01-01
5513,NYSE:UNM,23.52,2021-01-01
5768,NASDAQ:ASEI,0,2021-01-01
5981,NYSE:AVD,17.27,2021-01-01
6176,NYSE:AP,7.2,2021-01-01
6201,Nasdaq:AAL,15.38,2021-01-01
6207,NYSE:AXR,7.68,2021-01-01
6281,Nasdaq:ADI,155.61,2021-01-01
6284,NASDAQ:ALOG,0,2021-01-01
6845,Nasdaq:APOG,34.63,2021-01-01
6885,NYSE:SSI,0,2021-01-01
6951,Nasdaq:AMAT,94.56,2021-01-01
6955,NYSE:EPAC,24.55,2021-01-01
7032,,0,2021-01-01
7039,NYSE:TREC,0,2021-01-01
7084,NYSE:ADM,52.43,2021-01-01
7323,NYSE:EAI,0,2021-01-01
7332,NYSE:SWN,3.21,2021-01-01
7431,NYSE:AWI,78.84,2021-01-01
7536,NYSE:ARW,105.64,2021-01-01
7623,Nasdaq:ARTW,3.13,2021-01-01
7789,NYSE:ASB,19.42,2021-01-01
8063,Nasdaq:ATRO,12.71,2021-01-01
8146,Nasdaq:ALOT,10.51,2021-01-01
8177,Nasdaq:AAME,2.36,2021-01-01
8302,NYSE:ATCO,0,2021-01-01
8411,NYSE:ATW,0,2021-01-01
8504,NYSE:ENRJ,0,2021-01-01
8670,Nasdaq:ADP,168.85,2021-01-01
8818,NYSE:AVY,162.98,2021-01-01
8858,Nasdaq:AVT,37.92,2021-01-01
8868,NYSE:AVP,0,2021-01-01
8947,NYSE:AZZ,50.83,2021-01-01
9092,NYSE:BMI,101.87,2021-01-01
9326,Nasdaq:BCPC,129.86,2021-01-01
9346,NASDAQ:PTVCA,0,2021-01-01
9389,NYSE:BALL,90.68,2021-01-01
9521,AMEX:BCV,0,2021-01-01
9622,NASDAQ:BMLP,0,2021-01-01
9631,NYSE:BNS,54.46,2021-01-01
9984,NYSE:B,53.59,2021-01-01
10048,AMEX:BRN,0,2021-01-01
10081,NYSE:BRL,0,2021-01-01
10254,NYSE:ESTE,0,2021-01-01
10329,Nasdaq:BSET,21,2021-01-01
10456,NYSE:BAX,81.49,2021-01-01
10795,NYSE:BDX,247.15,2021-01-01
11544,NYSE:WRB,44.01,2021-01-01
12040,AMEX:BDL,0,2021-01-01
12208,NYSE:BIO,629.12,2021-01-01
12239,Nasdaq:DOMH,18.87,2021-01-01
12400,NYSE:BKH,59.96,2021-01-01
12603,NASDAQ:PY,35.51,2021-01-01
12659,NYSE:HRB,15.91,2021-01-01
12927,NYSE:BA,212.71,2021-01-01
12978,NYSE:OMX,0,2021-01-01
13573,,0,2021-01-01
14177,Nasdaq:BRID,18.45,2021-01-01
14195,NYSE:BGG,0,2021-01-01
14272,NYSE:BMY,62.36,2021-01-01
14280,NASDAQ:MSGI,0,2021-01-01
14693,NYSE:BFA,72.88,2021-01-01
14707,NYSE:CAL,15.66,2021-01-01
14846,NYSE:BRT,15.34,2021-01-01
15615,NYSE:MTZ,79.35,2021-01-01
16040,NYSE:CBT,48.21,2021-01-01
16058,NYSE:CACI,239.87,2021-01-01
16099,NYSE:LUB,0,2021-01-01
16160,Nasdaq:CALM,38.89,2021-01-01
16732,NYSE:CPB,47.22,2021-01-01
16859,NYSE:SRL,4.66,2021-01-01
16868,NYSE:CNI,113.73,2021-01-01
16875,NYSE:CP,74.04,2021-01-01
16918,NYSE:STZ,228.87,2021-01-01
17313,Nasdaq:CSWC,18.41,2021-01-01
17485,NYSE:LBMH,0,2021-01-01
17843,NYSE:CRS,33.26,2021-01-01
18061,NASDAQ:CASC,0,2021-01-01
18169,NYSE:DOLE,0,2021-01-01
18172,NYSE:CAS,0,2021-01-01
18230,NYSE:CAT,194.23,2021-01-01
18255,NYSE:CATO,10.06,2021-01-01
18349,NYSE:SNV,36.96,2021-01-01
18396,NYSE:CDI,0,2021-01-01
18498,NYSE:GCO,31.6,2021-01-01
18748,AMEX:CET,0,2021-01-01
18926,NYSE:LUMN,10.51,2021-01-01
19399,NASDAQ:CHFN,0,2021-01-01
19411,NASDAQ:MGLN,0,2021-01-01
19446,NYSE:CMD,0,2021-01-01
19520,NASDAQ:CHTT,0,2021-01-01
19584,NYSE:CHE,548.95,2021-01-01
19612,NASDAQ:TCFCP,0,2021-01-01
19617,NYSE:JPM,135.87,2021-01-01
19745,NYSE:CPK,102.93,2021-01-01
