CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date,date
20,NASDAQ:KTII,0,2021-04-01
1750,NYSE:AIR,41.58,2021-04-01
1800,NYSE:ABT,121.47,2021-04-01
2034,NASDAQ:ACETQ,0,2021-04-01
2098,AMEX:ACU,0,2021-04-01
2135,NYSE:ACS,0,2021-04-01
2178,AMEX:AE,0,2021-04-01
2186,AMEX:BKTI,0,2021-04-01
2230,NYSE:ADX,18.1,2021-04-01
2488,Nasdaq:AMD,80.3,2021-04-01
2491,NYSE:BYI,0,2021-04-01
2646,,0,2021-04-01
2809,NYSE:AEM,60.4,2021-04-01
2969,NYSE:APD,278.82,2021-04-01
3116,,0,2021-04-01
3153,,0,2021-04-01
3197,Nasdaq:CECO,8.08,2021-04-01
3370,NYSE:IKN,0,2021-04-01
3453,NYSE:ALEX,72.62,2021-04-01
3499,NYSE:ALX,292.89,2021-04-01
3545,Nasdaq:ALCO,29.79,2021-04-01
3570,NYSE:LNG,72.65,2021-04-01
3673,NYSE:AYE,0,2021-04-01
3845,NYSE:AFC,0,2021-04-01
3982,NYSE:ALY,0,2021-04-01
4127,Nasdaq:SWKS,179.82,2021-04-01
4187,NASDAQ:IDSA,0,2021-04-01
4281,NYSE:HWM,31.55,2021-04-01
4317,,0,2021-04-01
4447,NYSE:HES,68.5,2021-04-01
4457,NYSE:UHAL,59.15,2021-04-01
4904,Nasdaq:AEP,83.63,2021-04-01
4962,NYSE:AXP,139.95,2021-04-01
4977,NYSE:AFL,50.55,2021-04-01
5094,NYSE:VBF,19.3,2021-04-01
5272,NYSE:AIG,46.23,2021-04-01
5513,NYSE:UNM,27.25,2021-04-01
5768,NASDAQ:ASEI,0,2021-04-01
5981,NYSE:AVD,20.41,2021-04-01
6176,NYSE:AP,7.29,2021-04-01
6201,Nasdaq:AAL,23.83,2021-04-01
6207,NYSE:AXR,10.5,2021-04-01
6281,Nasdaq:ADI,154.5,2021-04-01
6284,NASDAQ:ALOG,0,2021-04-01
6845,Nasdaq:APOG,39.34,2021-04-01
6885,NYSE:SSI,0,2021-04-01
6951,Nasdaq:AMAT,119.33,2021-04-01
6955,NYSE:EPAC,25.63,2021-04-01
7032,,0,2021-04-01
7039,NYSE:TREC,0,2021-04-01
7084,NYSE:ADM,56.43,2021-04-01
7323,NYSE:EAI,0,2021-04-01
7332,NYSE:SWN,4.59,2021-04-01
7431,NYSE:AWI,91.48,2021-04-01
7536,NYSE:ARW,109.02,2021-04-01
7623,Nasdaq:ARTW,3.4,2021-04-01
7789,NYSE:ASB,21.9,2021-04-01
8063,Nasdaq:ATRO,18.42,2021-04-01
8146,Nasdaq:ALOT,12.55,2021-04-01
8177,Nasdaq:AAME,5.33,2021-04-01
8302,NYSE:ATCO,0,2021-04-01
8411,NYSE:ATW,0,2021-04-01
8504,NYSE:ENRJ,0,2021-04-01
8670,Nasdaq:ADP,184.39,2021-04-01
8818,NYSE:AVY,180.43,2021-04-01
8858,Nasdaq:AVT,40.39,2021-04-01
8868,NYSE:AVP,0,2021-04-01
8947,NYSE:AZZ,51.01,2021-04-01
9092,NYSE:BMI,95,2021-04-01
9326,Nasdaq:BCPC,126.57,2021-04-01
9346,NASDAQ:PTVCA,0,2021-04-01
9389,NYSE:BALL,84.32,2021-04-01
9521,AMEX:BCV,0,2021-04-01
9622,NASDAQ:BMLP,0,2021-04-01
9631,NYSE:BNS,62.7,2021-04-01
9984,NYSE:B,51.26,2021-04-01
10048,AMEX:BRN,0,2021-04-01
10081,NYSE:BRL,0,2021-04-01
10254,NYSE:ESTE,0,2021-04-01
10329,Nasdaq:BSET,23.77,2021-04-01
10456,NYSE:BAX,81.24,2021-04-01
10795,NYSE:BDX,235.56,2021-04-01
11544,NYSE:WRB,48.85,2021-04-01
12040,AMEX:BDL,0,2021-04-01
12208,NYSE:BIO,580,2021-04-01
12239,Nasdaq:DOMH,23.63,2021-04-01
12400,NYSE:BKH,65.2,2021-04-01
12603,NASDAQ:PY,40.15,2021-04-01
12659,NYSE:HRB,20.35,2021-04-01
12927,NYSE:BA,251.23,2021-04-01
12978,NYSE:OMX,0,2021-04-01
13573,,0,2021-04-01
14177,Nasdaq:BRID,15.32,2021-04-01
14195,NYSE:BGG,0,2021-04-01
14272,NYSE:BMY,63.38,2021-04-01
14280,NASDAQ:MSGI,0,2021-04-01
14693,NYSE:BFA,64.93,2021-04-01
14707,NYSE:CAL,21.01,2021-04-01
14846,NYSE:BRT,18.18,2021-04-01
15615,NYSE:MTZ,91.15,2021-04-01
16040,NYSE:CBT,52.47,2021-04-01
16058,NYSE:CACI,250.11,2021-04-01
16099,NYSE:LUB,0,2021-04-01
16160,Nasdaq:CALM,42,2021-04-01
16732,NYSE:CPB,51.02,2021-04-01
16859,NYSE:SRL,7.31,2021-04-01
16868,NYSE:CNI,113.16,2021-04-01
16875,NYSE:CP,71.31,2021-04-01
16918,NYSE:STZ,230.72,2021-04-01
17313,Nasdaq:CSWC,22.03,2021-04-01
17485,NYSE:LBMH,0,2021-04-01
17843,NYSE:CRS,40.52,2021-04-01
18061,NASDAQ:CASC,0,2021-04-01
18169,NYSE:DOLE,0,2021-04-01
18172,NYSE:CAS,0,2021-04-01
18230,NYSE:CAT,226.02,2021-04-01
18255,NYSE:CATO,11.55,2021-04-01
18349,NYSE:SNV,46.53,2021-04-01
18396,NYSE:CDI,0,2021-04-01
18498,NYSE:GCO,45.96,2021-04-01
18748,AMEX:CET,0,2021-04-01
18926,NYSE:LUMN,14.37,2021-04-01
19399,NASDAQ:CHFN,0,2021-04-01
19411,NASDAQ:MGLN,0,2021-04-01
19446,NYSE:CMD,0,2021-04-01
19520,NASDAQ:CHTT,0,2021-04-01
19584,NYSE:CHE,460.16,2021-04-01
19612,NASDAQ:TCFCP,0,2021-04-01
19617,NYSE:JPM,150.97,2021-04-01
19745,NYSE:CPK,114.96,2021-04-01
19871,AMEX:CVR,0,2021-04-01
20212,Nasdaq:CHDN,116.49,2021-04-01
20232,NASDAQ:CHYR,0,2021-04-01
20286,Nasdaq:CINF,105.86,2021-04-01
