CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date
20,NASDAQ:KTII,0
1750,NYSE:AIR,35.41
1800,NYSE:ABT,134.98
2034,NASDAQ:ACETQ,0
2098,AMEX:ACU,0
2135,NYSE:ACS,0
2178,AMEX:AE,0
2186,AMEX:BKTI,0
2230,NYSE:ADX,18.53
2488,Nasdaq:AMD,135.8
2491,NYSE:BYI,0
2646,,0
2809,NYSE:AEM,51.45
2969,NYSE:APD,295.01
3116,,0
3153,,0
3197,Nasdaq:CECO,5.89
3370,NYSE:IKN,0
3453,NYSE:ALEX,78.99
3499,NYSE:ALX,250.16
3545,Nasdaq:ALCO,35.26
3570,NYSE:LNG,101.12
3673,NYSE:AYE,0
3845,NYSE:AFC,0
3982,NYSE:ALY,0
4127,Nasdaq:SWKS,149.91
4187,NASDAQ:IDSA,0
4281,NYSE:HWM,29.26
4317,,0
4447,NYSE:HES,71.18
4457,NYSE:UHAL,70.42
4904,Nasdaq:AEP,87.23
4962,NYSE:AXP,155.89
4977,NYSE:AFL,55.36
5094,NYSE:VBF,19.43
5272,NYSE:AIG,52.91
5513,NYSE:UNM,22.68
5768,NASDAQ:ASEI,0
5981,NYSE:AVD,14.66
6176,NYSE:AP,4.37
6201,Nasdaq:AAL,17.3
6207,NYSE:AXR,18.44
6281,Nasdaq:ADI,168.32
6284,NASDAQ:ALOG,0
6845,Nasdaq:APOG,42.05
6885,NYSE:SSI,0
6951,Nasdaq:AMAT,145.01
6955,NYSE:EPAC,21.87
7032,,0
7039,NYSE:TREC,0
7084,NYSE:ADM,64.22
7323,NYSE:EAI,0
7332,NYSE:SWN,4.36
7431,NYSE:AWI,108.81
7536,NYSE:ARW,123.43
7623,Nasdaq:ARTW,3.38
7789,NYSE:ASB,21.49
8063,Nasdaq:ATRO,10.54
8146,Nasdaq:ALOT,13
8177,Nasdaq:AAME,3.12
8302,NYSE:ATCO,0
8411,NYSE:ATW,0
8504,NYSE:ENRJ,0
8670,Nasdaq:ADP,229.36
8818,NYSE:AVY,202.38
8858,Nasdaq:AVT,37.55
8868,NYSE:AVP,0
8947,NYSE:AZZ,52.49
9092,NYSE:BMI,101.45
9326,Nasdaq:BCPC,164.86
9346,NASDAQ:PTVCA,0
9389,NYSE:BALL,90
9521,AMEX:BCV,0
9622,NASDAQ:BMLP,0
9631,NYSE:BNS,67.09
9984,NYSE:B,43.61
10048,AMEX:BRN,0
10081,NYSE:BRL,0
10254,NYSE:ESTE,0
10329,Nasdaq:BSET,16.5
10456,NYSE:BAX,82.51
10795,NYSE:BDX,246.08
11544,NYSE:WRB,52.5
12040,AMEX:BDL,0
12208,NYSE:BIO,728.57
12239,Nasdaq:DOMH,11.13
12400,NYSE:BKH,67.86
12603,NASDAQ:PY,42.53
12659,NYSE:HRB,22.83
12927,NYSE:BA,188.48
12978,NYSE:OMX,0
13573,,0
14177,Nasdaq:BRID,11.59
14195,NYSE:BGG,0
14272,NYSE:BMY,61.72
14280,NASDAQ:MSGI,0
14693,NYSE:BFA,67.34
14707,NYSE:CAL,21.08
14846,NYSE:BRT,19.51
15615,NYSE:MTZ,87.7
16040,NYSE:CBT,51.91
16058,NYSE:CACI,256.13
16099,NYSE:LUB,0
16160,Nasdaq:CALM,36.11
16732,NYSE:CPB,43.22
16859,NYSE:SRL,8.7
16868,NYSE:CNI,119.38
16875,NYSE:CP,71.13
16918,NYSE:STZ,239.45
17313,Nasdaq:CSWC,24.23
17485,NYSE:LBMH,0
17843,NYSE:CRS,28.65
18061,NASDAQ:CASC,0
18169,NYSE:DOLE,13.46
18172,NYSE:CAS,0
18230,NYSE:CAT,195.46
18255,NYSE:CATO,15.79
18349,NYSE:SNV,44.47
18396,NYSE:CDI,0
18498,NYSE:GCO,58.43
18748,AMEX:CET,0
18926,NYSE:LUMN,12.48
19399,NASDAQ:CHFN,0
19411,NASDAQ:MGLN,0
19446,NYSE:CMD,0
19520,NASDAQ:CHTT,0
19584,NYSE:CHE,508.52
19612,NASDAQ:TCFCP,0
19617,NYSE:JPM,153.94
19745,NYSE:CPK,140.96
19871,AMEX:CVR,0
20212,Nasdaq:CHDN,109.77
20232,NASDAQ:CHYR,0
20286,Nasdaq:CINF,110.01
20388,NYSE:CIT,0
20430,,0
20520,Nasdaq:FYBR,29.04
20629,NYSE:CSS,0
20740,NYSE:CLC,0
21076,NYSE:CLX,176.6
21175,NYSE:CNA,42.41
21344,NYSE:KO,57.54
21510,NASDAQ:COHR,0
21535,Nasdaq:COHU,35.92
21665,NYSE:CL,82.52
22105,,0
22252,NASDAQ:CMRO,0
22301,NYSE:CCZ,0
22356,Nasdaq:CBSH,60.15
22444,NYSE:CMC,33.23
22551,,0
22701,Nasdaq:PEGY,140.4
22912,,0
23082,NYSE:CSC,0
23111,Nasdaq:CTG,0
23194,NYSE:CRK,8.22
23197,Nasdaq:CMTL,23.49
23217,NYSE:CAG,34.32
23666,NYSE:HSH,0
23675,NYSE:CNW,0
23795,NYSE:CTO,18.45
24090,NYSE:CIA,5.6
24104,NYSE:CUO,0
24545,NYSE:TAP,43.38
24741,NYSE:GLW,36.1
25212,NASDAQ:CRRC,0
25232,NYSE:CUZ,37.72
25445,NYSE:CR,32.88
25475,,0
25743,Nasdaq:TXMD,20.58
25793,NASDAQ:ATX,0
25895,Nasdaq:CRWS,6.98
26058,NYSE:CTS,34.18
26076,NYSE:CUB,0
26172,NYSE:CMI,206.99
26324,NYSE:CW,130.24
26537,NYSE:STST,0
26780,NYSE:DAN,21.05
27048,NYSE:DST,0
27093,Nasdaq:USAU,8.54
27367,Nasdaq:DXR,0
27419,NYSE:TGT,219.19
27904,NYSE:DAL,36.37
27960,,0
27996,NYSE:DLX,30.38
28412,NYSE:CMA,81.89
28630,NYSE:DRS,0
28917,NYSE:DDS,231.57
29002,Nasdaq:DIOD,100.47
29332,Nasdaq:DXYN,5.48
29534,NYSE:DG,220.4
29644,NYSE:DCI,55.71
29669,NASDAQ:RRD,0
29806,,0
29834,NASDAQ:ESCRP,0
29905,NYSE:DOV,168.44
29989,NYSE:OMC,70.46
30125,NYSE:INSI,22.32
30167,,0
30305,NYSE:DCO,43.02
30371,NYSE:DUKH,0
30554,,0
30625,NYSE:FLS,28.85
30697,Nasdaq:WEN,22.68
30828,NASDAQ:COBR,0
30831,,0
31107,Nasdaq:EML,25.38
31235,NYSE:KODK,4.97
31347,NASDAQ:ELON,0
31462,NYSE:ECL,224.02
31667,Nasdaq:EDUC,8.36
31791,NYSE:PKI,188.22
31978,NYSE:EE,0
32020,,0
32166,NASDAQ:ELRC,0
32604,NYSE:EMR,89.46
32621,AMEX:MSN,0
32689,NYSE:EDE,0
32878,NASDAQ:ENERQ,0
33002,NYSE:EBF,19.19
33185,NYSE:EFX,275.97
33213,NYSE:EQT,21.25
33488,Nasdaq:ESCA,15.4
33523,,0
33533,AMEX:ESP,0
